ccn,location,latitude,longitude,block,offensekey,offensegroup,method,offense,sector,start_date,end_date,shift,year,neighborhood_cluster,psa,census_tract,ward,bid,district,ucr-rank,voting_precinct
25006344,"38.917236462,-77.0229457261",38.91723646,-77.02294573,2000 - 2099 block of 8th street nw,property|theft/other,property,others,theft/other,3D2,14-01-2025,02-03-2025,day,2025,cluster 3,305,3500,1,Unknown,3,6,precinct 37
25011816,"38.9278656487,-77.0358475471",38.92786565,-77.03584755,3000 - 3099 block of 15th street nw,property|theft f/auto,property,others,theft f/auto,3D1,25-01-2025,25-01-2025,evening,2025,cluster 2,302,2802,1,Unknown,3,7,precinct 36
25022849,"38.8514361569,-76.9821411018",38.85143616,-76.9821411,1300 - 1399 block of jasper place se,property|motor vehicle theft,property,others,motor vehicle theft,7D2,16-02-2025,16-02-2025,day,2025,cluster 38,704,7404,8,Unknown,7,8,precinct 117
25005923,"38.8336572844,-76.9897828422",38.83365728,-76.98978284,4026 - 4199 block of wheeler road se,violent|robbery,violent,gun,robbery,7D3,13-01-2025,13-01-2025,evening,2025,cluster 39,706,9801,8,Unknown,7,4,precinct 121
25009871,"38.8954551825,-77.0111885512",38.89545518,-77.01118855,400 - 499 block of new jersey avenue nw,property|theft/other,property,others,theft/other,1D1,18-01-2025,18-01-2025,evening,2025,cluster 8,102,5900,6,downtown,1,6,precinct 1
25014331,"38.9012753565,-76.9826084878",38.90127536,-76.98260849,812 - 899 block of bladensburg road ne,property|theft/other,property,others,theft/other,5D3,30-01-2025,30-01-2025,day,2025,cluster 23,507,8903,5,Unknown,5,6,precinct 79
25015325,"38.8689186523,-76.9594761766",38.86891865,-76.95947618,3200 - 3299 block of pennsylvania avenue se,property|theft/other,property,others,theft/other,6D2,01-02-2025,01-02-2025,day,2025,cluster 34,605,9901,7,Unknown,6,6,precinct 109
25026609,"38.8996769403,-77.0311403905",38.89967694,-77.03114039,1300 - 1399 block of new york avenue nw,property|theft/other,property,others,theft/other,2D3,23-02-2025,23-02-2025,evening,2025,cluster 8,209,10100,2,downtown,2,6,precinct 129
25026743,"38.9148228237,-77.0106677549",38.91482282,-77.01066775,1 - 99 block of seaton place nw,violent|robbery,violent,others,robbery,3D2,24-02-2025,24-02-2025,midnight,2025,cluster 21,308,3302,5,Unknown,3,4,precinct 19
25021280,"38.898528687,-76.9873501443",38.89852869,-76.98735014,1300 - 1353 block of maryland avenue ne,property|theft f/auto,property,others,theft f/auto,1D2,10-02-2025,11-02-2025,day,2025,cluster 25,104,8402,6,Unknown,1,7,precinct 82
25007070,"38.8923658807,-76.92780803",38.89236588,-76.92780803,200 - 226 block of division avenue ne,violent|robbery,violent,gun,robbery,6D1,15-01-2025,15-01-2025,evening,2025,cluster 31,608,7808,7,Unknown,6,4,precinct 96
