latitude,block,offensegroup,location,sector,method,ccn,end_date,longitude,neighborhood_cluster,shift,psa,census_tract,ward,bid,district,year,report_dat,ucr-rank,offensekey,start_date,voting_precinct,offense
38.93457054,13th street nw and otis place nw,property,"38.9345705372,-77.0297271714",4D3,others,25025415,21-02-2025,-77.02972717,cluster 2,day,408.0,2900.0,1.0,Unknown,4.0,2025,"2/21/2025, 1:11:24 PM",7,property|theft f/auto,21-02-2025,precinct 42,theft f/auto
38.89334948,300 - 499 block of 40th street ne,property,"38.8933494806,-76.9469648801",6D3,others,25013537,28-01-2025,-76.94696488,cluster 32,evening,603.0,9603.0,7.0,Unknown,6.0,2025,"1/28/2025, 9:40:13 PM",6,property|theft/other,28-01-2025,precinct 102,theft/other
38.95621403,1400 - 1599 block of kennedy street nw,violent,"38.9562140257,-77.0349122857",4D1,others,25010907,23-01-2025,-77.03491229,cluster 18,evening,403.0,2001.0,4.0,Unknown,4.0,2025,"1/23/2025, 9:59:27 PM",4,violent|robbery,23-01-2025,precinct 53,robbery
38.87928645,200 - 299 block of i street sw,violent,"38.8792864526,-77.0140710307",1D1,gun,25019288,09-02-2025,-77.01407103,cluster 9,day,103.0,10500.0,6.0,southwest,1.0,2025,"2/9/2025, 7:25:21 AM",3,violent|assault w/dangerous weapon,09-02-2025,precinct 128,assault w/dangerous weapon
38.89720394,1 - 99 block of massachusetts avenue ne,violent,"38.8972039407,-77.0083879302",1D1,gun,25020116,10-02-2025,-77.00838793,cluster 25,midnight,102.0,10603.0,6.0,capitol hill,1.0,2025,"2/10/2025, 12:00:00 AM",1,violent|homicide,10-02-2025,precinct 144,homicide
38.91112694,1600 - 1699 block of q street nw,property,"38.9111269368,-77.0375021049",3D2,others,25028184,07-02-2025,-77.0375021,cluster 6,midnight,308.0,5303.0,2.0,Unknown,3.0,2025,"2/26/2025, 11:35:41 PM",6,property|theft/other,06-02-2025,precinct 15,theft/other
38.90074989,810 - 899 block of 4th street nw,property,"38.9007498932,-77.0161782596",1D1,others,25011206,24-01-2025,-77.01617826,cluster 8,day,101.0,4702.0,6.0,mount vernon triangle cid,1.0,2025,"1/24/2025, 2:22:47 PM",8,property|motor vehicle theft,24-01-2025,precinct 1,motor vehicle theft
38.86068987,2500 - 2720 block of marion barry avenue se,property,"38.8606898719,-76.9687974644",6D2,others,25014749,31-01-2025,-76.96879746,cluster 35,day,606.0,7604.0,7.0,Unknown,6.0,2025,"1/31/2025, 8:06:38 AM",5,property|burglary,30-01-2025,precinct 113,burglary
38.91540968,1811 - 1899 block of connecticut avenue nw,property,"38.9154096776,-77.046302846",3D3,others,25016366,03-02-2025,-77.04630285,cluster 1,day,303.0,4002.0,1.0,dupont circle,3.0,2025,"2/3/2025, 12:33:25 PM",6,property|theft/other,03-02-2025,precinct 25,theft/other
38.93409777,1800 - 1999 block of newton street ne,property,"38.9340977719,-76.977957819",5D2,others,25015393,22-01-2025,-76.97795782,cluster 22,day,504.0,9400.0,5.0,Unknown,5.0,2025,"2/1/2025, 11:50:50 AM",7,property|theft f/auto,22-01-2025,precinct 69,theft f/auto
38.9268776,500 - 699 block of gresham place nw,property,"38.9268775954,-77.0216538397",3D2,others,25016156,02-02-2025,-77.02165384,cluster 2,midnight,306.0,3400.0,1.0,Unknown,3.0,2025,"2/2/2025, 11:43:58 PM",8,property|motor vehicle theft,02-02-2025,precinct 37,motor vehicle theft
38.92552399,1200 - 1299 block of franklin street ne,property,"38.9255239889,-76.9892800174",5D2,others,25022332,15-02-2025,-76.98928002,cluster 22,day,504.0,9302.0,5.0,Unknown,5.0,2025,"2/15/2025, 10:26:27 AM",5,property|burglary,15-02-2025,precinct 73,burglary
38.90720518,5000 - 5029 block of nash street ne,violent,"38.9072051836,-76.9291125489",6D1,knife,25025924,22-02-2025,-76.92911255,cluster 31,day,602.0,7806.0,7.0,Unknown,6.0,2025,"2/22/2025, 11:18:15 AM",3,violent|assault w/dangerous weapon,22-02-2025,precinct 93,assault w/dangerous weapon
